0,1,2,3,4,5,6,7,8,9,Area_Origen
Grupo 8301  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  09:00 a 12:00 A 304  PROFESOR PENDIENTE LA CLASE SERá IMPARTIDA POR EL DR. VíCTOR HUGO AVILéS ROSAS  1866  METODOS EN NEUROPSICOLOGIA  10:00 a 16:00 A 109  CRUZ PEREZ FELIPE  ALGUNAS CLASES SE IMPARTEN EN ESCENARIO/ESCENARIO MULTINIVEL  1867  NEUROPSICOLOGIA BASICA  07:00 a 10:00 A 101  RAMIREZ FLORES MAURA JAZMIN  1869  INTEROCEPCION Y CONDUCTA I  10:00 a 13:00 AULA PENDIENTE  RODRIGUEZ ORTIZ MARIA DOLORES  1871  PSICOFISIOLOGIA CLINICA  11:00 a 14:00 B 17  GALVEZ HERNANDEZ CARMEN LIZETTE  1872  SEMINARIO EN PSICOFISIOLOGIA  08:00 a 11:00 A 204  DEL RIO PORTILLA IRMA YOLANDA  Grupo 8302  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  10:00 a 13:00 A 304  RUIZ CONTRERAS ALEJANDRA EVELYN  1867  NEUROPSICOLOGIA BASICA  13:00 a 16:00 A 109  CRUZ PEREZ FELIPE  1868  SEMINARIO DE NEUROPSICOLOGIA  12:00 a 15:00 A 207  OSTROSKY SHEJET FEGGY  1870  PROBLEMATIZACION EN PSICOFISIOLOG.  12:00 a 15:00 B 05  09:00 a 12:00 B 05  SANCHEZ DINORIN GERARDO  1871  PSICOFISIOLOGIA CLINICA  10:00 a 13:00 A 003  RODRIGUEZ ORTIZ MARIA DOLORES  Grupo 8303  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1867  NEUROPSICOLOGIA BASICA  17:00 a 20:00 A 101  RAMIREZ FLORES MAURA JAZMIN,Grupo 8301  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  09:00 a 12:00 A 304  PROFESOR PENDIENTE LA CLASE SERá IMPARTIDA POR EL DR. VíCTOR HUGO AVILéS ROSAS  1866  METODOS EN NEUROPSICOLOGIA  10:00 a 16:00 A 109  CRUZ PEREZ FELIPE  ALGUNAS CLASES SE IMPARTEN EN ESCENARIO/ESCENARIO MULTINIVEL  1867  NEUROPSICOLOGIA BASICA  07:00 a 10:00 A 101  RAMIREZ FLORES MAURA JAZMIN  1869  INTEROCEPCION Y CONDUCTA I  10:00 a 13:00 AULA PENDIENTE  RODRIGUEZ ORTIZ MARIA DOLORES  1871  PSICOFISIOLOGIA CLINICA  11:00 a 14:00 B 17  GALVEZ HERNANDEZ CARMEN LIZETTE  1872  SEMINARIO EN PSICOFISIOLOGIA  08:00 a 11:00 A 204  DEL RIO PORTILLA IRMA YOLANDA  Grupo 8302  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  10:00 a 13:00 A 304  RUIZ CONTRERAS ALEJANDRA EVELYN  1867  NEUROPSICOLOGIA BASICA  13:00 a 16:00 A 109  CRUZ PEREZ FELIPE  1868  SEMINARIO DE NEUROPSICOLOGIA  12:00 a 15:00 A 207  OSTROSKY SHEJET FEGGY  1870  PROBLEMATIZACION EN PSICOFISIOLOG.  12:00 a 15:00 B 05  09:00 a 12:00 B 05  SANCHEZ DINORIN GERARDO  1871  PSICOFISIOLOGIA CLINICA  10:00 a 13:00 A 003  RODRIGUEZ ORTIZ MARIA DOLORES  Grupo 8303  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1867  NEUROPSICOLOGIA BASICA  17:00 a 20:00 A 101  RAMIREZ FLORES MAURA JAZMIN,Grupo 8301  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  09:00 a 12:00 A 304  PROFESOR PENDIENTE LA CLASE SERá IMPARTIDA POR EL DR. VíCTOR HUGO AVILéS ROSAS  1866  METODOS EN NEUROPSICOLOGIA  10:00 a 16:00 A 109  CRUZ PEREZ FELIPE  ALGUNAS CLASES SE IMPARTEN EN ESCENARIO/ESCENARIO MULTINIVEL  1867  NEUROPSICOLOGIA BASICA  07:00 a 10:00 A 101  RAMIREZ FLORES MAURA JAZMIN  1869  INTEROCEPCION Y CONDUCTA I  10:00 a 13:00 AULA PENDIENTE  RODRIGUEZ ORTIZ MARIA DOLORES  1871  PSICOFISIOLOGIA CLINICA  11:00 a 14:00 B 17  GALVEZ HERNANDEZ CARMEN LIZETTE  1872  SEMINARIO EN PSICOFISIOLOGIA  08:00 a 11:00 A 204  DEL RIO PORTILLA IRMA YOLANDA  Grupo 8302  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1865  GENETICA DE LA CONDUCTA  10:00 a 13:00 A 304  RUIZ CONTRERAS ALEJANDRA EVELYN  1867  NEUROPSICOLOGIA BASICA  13:00 a 16:00 A 109  CRUZ PEREZ FELIPE  1868  SEMINARIO DE NEUROPSICOLOGIA  12:00 a 15:00 A 207  OSTROSKY SHEJET FEGGY  1870  PROBLEMATIZACION EN PSICOFISIOLOG.  12:00 a 15:00 B 05  09:00 a 12:00 B 05  SANCHEZ DINORIN GERARDO  1871  PSICOFISIOLOGIA CLINICA  10:00 a 13:00 A 003  RODRIGUEZ ORTIZ MARIA DOLORES  Grupo 8303  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1867  NEUROPSICOLOGIA BASICA  17:00 a 20:00 A 101  RAMIREZ FLORES MAURA JAZMIN,,,,,,,,PSICOBIOLOGIA Y NEUROCIENCIAS
Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,Grupo 8301,PSICOBIOLOGIA Y NEUROCIENCIAS
1865,GENETICA DE LA CONDUCTA,,,,09:00 a 12:00 A 304,,,PROFESOR PENDIENTE,LA CLASE SERá IMPARTIDA POR EL DR. VíCTOR HUGO AVILéS ROSAS,PSICOBIOLOGIA Y NEUROCIENCIAS
1866,METODOS EN NEUROPSICOLOGIA,10:00 a 16:00 A 109,,,,,,CRUZ PEREZ FELIPE,ALGUNAS CLASES SE IMPARTEN EN ESCENARIO/ESCENARIO MULTINIVEL,PSICOBIOLOGIA Y NEUROCIENCIAS
1867,NEUROPSICOLOGIA BASICA,,,,,07:00 a 10:00 A 101,,RAMIREZ FLORES MAURA JAZMIN,,PSICOBIOLOGIA Y NEUROCIENCIAS
1869,INTEROCEPCION Y CONDUCTA I,,,10:00 a 13:00 AULA PENDIENTE,,,,RODRIGUEZ ORTIZ MARIA DOLORES,,PSICOBIOLOGIA Y NEUROCIENCIAS
1871,PSICOFISIOLOGIA CLINICA,,,,,11:00 a 14:00 B 17,,GALVEZ HERNANDEZ CARMEN LIZETTE,,PSICOBIOLOGIA Y NEUROCIENCIAS
1872,SEMINARIO EN PSICOFISIOLOGIA,,08:00 a 11:00 A 204,,,,,DEL RIO PORTILLA IRMA YOLANDA,,PSICOBIOLOGIA Y NEUROCIENCIAS
Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,Grupo 8302,PSICOBIOLOGIA Y NEUROCIENCIAS
1865,GENETICA DE LA CONDUCTA,,,10:00 a 13:00 A 304,,,,RUIZ CONTRERAS ALEJANDRA EVELYN,,PSICOBIOLOGIA Y NEUROCIENCIAS
1867,NEUROPSICOLOGIA BASICA,,13:00 a 16:00 A 109,,,,,CRUZ PEREZ FELIPE,,PSICOBIOLOGIA Y NEUROCIENCIAS
1868,SEMINARIO DE NEUROPSICOLOGIA,,,,,12:00 a 15:00 A 207,,OSTROSKY SHEJET FEGGY,,PSICOBIOLOGIA Y NEUROCIENCIAS
1870,PROBLEMATIZACION EN PSICOFISIOLOG.,12:00 a 15:00 B 05,,,09:00 a 12:00 B 05,,,SANCHEZ DINORIN GERARDO,,PSICOBIOLOGIA Y NEUROCIENCIAS
1871,PSICOFISIOLOGIA CLINICA,,10:00 a 13:00 A 003,,,,,RODRIGUEZ ORTIZ MARIA DOLORES,,PSICOBIOLOGIA Y NEUROCIENCIAS
Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,Grupo 8303,PSICOBIOLOGIA Y NEUROCIENCIAS
1867,NEUROPSICOLOGIA BASICA,,,17:00 a 20:00 A 101,,,,RAMIREZ FLORES MAURA JAZMIN,,PSICOBIOLOGIA Y NEUROCIENCIAS
Selecciona el semestre a consultar  ----------- 2do Semestre 	4to Semestre 	6to Semestre 	8vo Semestre  OPTATIVAS DE GENERO (Plan 2008)  OPTATIVAS,Selecciona el tipo de busqueda  ----------- Grupo 	Asignatura,Selecciona el campo del conocimiento  ----------- CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO 	PROCESOS PSICOSOCIALES Y CULTURALES 	PSICOBIOLOGIA Y NEUROCIENCIAS 	PSICOLOGIA CLINICA Y DE LA SALUD 	PSICOLOGIA DE LA EDUCACION 	PSICOLOGIA ORGANIZACIONAL 	CONTEXTUAL,,,,,,,,PSICOLOGIA CLINICA Y DE LA SALUD
,,,,,,,,,,PSICOLOGIA CLINICA Y DE LA SALUD
,,,,,,,,,,PSICOLOGIA CLINICA Y DE LA SALUD
